brand,model,price,gender,url,image_position,image_id,prompt
gmbh,black adem boots,630,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241979M228011_1.jpg",1,10190355733807254877,These are shoes for men from brand gmbh model black adem boots. Item price is 630 dollars.
c2h4,black boson boots,820,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241299M255000_1.jpg",1,17136764886245495713,These are shoes for men from brand c2h4 model black boson boots. Item price is 820 dollars.
burberry,black & purple check pillow boots,1140,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/232376M223007_1.jpg",1,14896042988606270054,These are shoes for men from brand burberry model black & purple check pillow boots. Item price is 1140 dollars.
on,black & beige cloudvista sneakers,235,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/232585M237017_1.jpg",1,9093049312616985085,These are shoes for men from brand on model black & beige cloudvista sneakers. Item price is 235 dollars.
salomon,white acs pro sneakers,360,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/232837M237008_1.jpg",1,4021592074324545023,These are shoes for men from brand salomon model white acs pro sneakers. Item price is 360 dollars.
axel arigato,gray area patchwork sneakers,540,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M236001_1.jpg",1,10301726662106187396,These are shoes for men from brand axel arigato model gray area patchwork sneakers. Item price is 540 dollars.
axel arigato,beige & gray area patchwork sneakers,540,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M236002_1.jpg",1,1535466102747963815,These are shoes for men from brand axel arigato model beige & gray area patchwork sneakers. Item price is 540 dollars.
axel arigato,white & gray area patchwork sneakers,540,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M236000_1.jpg",1,16947255720738492461,These are shoes for men from brand axel arigato model white & gray area patchwork sneakers. Item price is 540 dollars.
axel arigato,brown & beige rush sneakers,410,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237000_1.jpg",1,889378197566316530,These are shoes for men from brand axel arigato model brown & beige rush sneakers. Item price is 410 dollars.
axel arigato,gray rush sneakers,410,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237001_1.jpg",1,3348142587574249389,These are shoes for men from brand axel arigato model gray rush sneakers. Item price is 410 dollars.
axel arigato,khaki orbit vintage sneakers,410,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237002_1.jpg",1,15152688725481232126,These are shoes for men from brand axel arigato model khaki orbit vintage sneakers. Item price is 410 dollars.
axel arigato,navy orbit vintage sneakers,410,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237003_1.jpg",1,4906122588582182988,These are shoes for men from brand axel arigato model navy orbit vintage sneakers. Item price is 410 dollars.
axel arigato,navy genesis vintage sneakers,395,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237006_1.jpg",1,7359521865019332720,These are shoes for men from brand axel arigato model navy genesis vintage sneakers. Item price is 395 dollars.
axel arigato,brown genesis vintage sneakers,395,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237004_1.jpg",1,9117813153918564312,These are shoes for men from brand axel arigato model brown genesis vintage sneakers. Item price is 395 dollars.
axel arigato,beige genesis vintage sneakers,395,men,"https://res.cloudinary.com/ssenseweb/image/upload/b_white,c_lpad,g_center,h_1412,w_940/c_scale,h_960/f_auto,dpr_2.0/241307M237005_1.jpg",1,5622394891966546739,These are shoes for men from brand axel arigato model beige genesis vintage sneakers. Item price is 395 dollars.
